Direccion IP Fecha	      User  Process ID      Command
172.24.79.62 2017-12-13 18:4:21 LuisD Process ID:5685 configurar
172.20.10.4 2017-12-13 18:6:43 LuisD Process ID:6055 configurar
172.20.10.4 2017-12-13 18:8:7 LuisD Process ID:6185 configurar
172.20.10.4 2017-12-13 18:9:0 LuisD Process ID:6317 configurar
172.20.10.4 2017-12-13 18:9:37 LuisD Process ID:6421 configurar
172.20.10.4 2017-12-13 18:11:9 LuisD Process ID:6421 terminar
172.20.10.4 2017-12-13 18:11:13 LuisD Process ID:6537 configurar
172.20.10.4 2017-12-13 18:12:26 LuisD Process ID:6642 configurar
172.20.10.4 2017-12-13 18:12:58 LuisD Process ID:6642 terminar
172.20.10.4 2017-12-13 18:13:3 LuisD Process ID:6742 configurar
172.20.10.4 2017-12-13 18:15:34 LuisD Process ID:6742 terminar
172.20.10.4 2017-12-13 18:17:24 LuisD Process ID:6920 configurar
172.20.10.4 2017-12-13 18:19:30 LuisD Process ID:6938 termianr
172.20.10.4 2017-12-13 18:19:32 LuisD Process ID:6920 terminar
172.20.10.4 2017-12-13 18:19:43 LuisD Process ID:7122 configurar
172.20.10.4 2017-12-13 18:20:42 LuisD Process ID:7122 terminar
172.20.10.4 2017-12-13 18:20:50 LuisD Process ID:7227 configurar
172.20.10.4 2017-12-13 18:21:43 LuisD Process ID:7227 terminar
172.20.10.4 2017-12-13 18:21:48 LuisD Process ID:7338 configurar
172.20.10.4 2017-12-13 18:21:54 LuisD Process ID:7339 pwd
172.20.10.4 2017-12-13 18:21:56 LuisD Process ID:7340 ls
172.20.10.4 2017-12-13 18:21:59 LuisD Process ID:7338 terminar
172.20.10.4 2017-12-13 18:23:59 LuisD Process ID:7461 configurar
172.20.10.4 2017-12-13 18:24:19 LuisD Process ID:7461 configurar
172.20.10.4 2017-12-13 18:24:50 LuisD Process ID:7530 configurar
172.20.10.4 2017-12-13 18:25:30 LuisD Process ID:7585 configurar
172.20.10.4 2017-12-13 18:26:29 LuisD Process ID:7647 configurar
172.20.10.4 2017-12-13 18:26:48 LuisD Process ID:7647 configurar
172.20.10.4 2017-12-13 18:27:3 LuisD Process ID:7760 configurar
172.20.10.4 2017-12-13 18:30:36 LuisD Process ID:7760 terminar
172.20.10.4 2017-12-13 18:35:30 LuisD Process ID:7960 configurar
172.20.10.4 2017-12-13 18:36:7 LuisD Process ID:8059 configurar
172.20.10.4 2017-12-13 18:36:21 LuisD Process ID:8120 configurar
172.20.10.4 2017-12-13 18:37:7 LuisD Process ID:8269 configurar
172.20.10.4 2017-12-13 18:54:31 LuisD Process ID:8767 configurar
172.20.10.4 2017-12-13 18:55:7 LuisD Process ID:8866 configurar
172.20.10.4 2017-12-13 18:55:9 LuisD Process ID:8868 3
172.20.10.4 2017-12-13 18:56:1 LuisD Process ID:8866 terminar
172.20.10.4 2017-12-13 18:56:20 LuisD Process ID:8961 configurar
172.20.10.4 2017-12-13 18:56:21 LuisD Process ID:8962 1
172.20.10.4 2017-12-13 18:56:40 LuisD Process ID:8961 terminar
172.20.10.4 2017-12-13 18:56:44 LuisD Process ID:9009 configurar
172.20.10.4 2017-12-13 18:56:48 LuisD Process ID:9012 1
172.20.10.4 2017-12-13 18:57:14 LuisD Process ID:9009 terminar
172.20.10.4 2017-12-13 18:57:18 LuisD Process ID:9061 configurar
172.20.10.4 2017-12-13 18:57:20 LuisD Process ID:9062 1
172.20.10.4 2017-12-13 18:58:4 LuisD Process ID:9072 terminat
172.20.10.4 2017-12-13 18:58:6 LuisD Process ID:9061 terminar
172.20.10.4 2017-12-13 18:58:34 LuisD Process ID:9156 configurar
172.20.10.4 2017-12-13 18:58:35 LuisD Process ID:9158 1
172.20.10.4 2017-12-13 19:0:35 LuisD Process ID:9156 terminar
172.20.10.4 2017-12-13 19:0:49 LuisD Process ID:9254 configurar
172.20.10.4 2017-12-13 19:2:49 LuisD Process ID:9378 configurar
172.20.10.4 2017-12-13 19:3:35 LuisD Process ID:9484 configurar
172.20.10.4 2017-12-13 19:4:58 LuisD Process ID:9584 configurar
172.20.10.4 2017-12-13 19:7:25 LuisD Process ID:9699 configurar
172.20.10.4 2017-12-13 19:7:26 LuisD Process ID:9701 1
172.20.10.4 2017-12-13 19:8:6 LuisD Process ID:9761 configurar
172.20.10.4 2017-12-13 19:8:7 LuisD Process ID:9762 1
172.20.10.4 2017-12-13 19:9:7 LuisD Process ID:9761 terminar
172.20.10.4 2017-12-13 19:14:50 LuisD Process ID:9878 configurar
172.20.10.4 2017-12-13 19:14:51 LuisD Process ID:9880 1
172.20.10.4 2017-12-13 19:15:25 LuisD Process ID:9878 terminar
172.20.10.4 2017-12-13 19:15:29 LuisD Process ID:9934 configurar
172.20.10.4 2017-12-13 19:15:41 LuisD Process ID:10029 configurar
172.20.10.4 2017-12-13 19:16:0 LuisD Process ID:10122 configurar
172.20.10.4 2017-12-13 19:16:12 LuisD Process ID:10215 configurar
172.20.10.4 2017-12-13 19:16:52 LuisD Process ID:10324 configurar
172.20.10.4 2017-12-13 19:17:9 LuisD Process ID:10418 configurar
172.20.10.4 2017-12-13 19:17:11 LuisD Process ID:10419 f
172.20.10.4 2017-12-13 19:17:26 LuisD Process ID:10418 terminar
172.20.10.4 2017-12-13 19:17:30 LuisD Process ID:10468 configurar
172.20.10.4 2017-12-13 19:18:14 LuisD Process ID:10571 configurar
172.20.10.4 2017-12-13 19:18:15 LuisD Process ID:10573 1
172.20.10.4 2017-12-13 19:19:35 LuisD Process ID:10571 terminar
172.20.10.4 2017-12-13 19:19:42 LuisD Process ID:10636 configurar
172.20.10.4 2017-12-13 19:21:15 LuisD Process ID:10736 configurar
172.20.10.4 2017-12-13 19:21:15 LuisD Process ID:10738 1
172.20.10.4 2017-12-13 19:21:56 LuisD Process ID:10736 terminar
172.20.10.4 2017-12-13 19:22:0 LuisD Process ID:10787 configurar
172.20.10.4 2017-12-13 19:22:1 LuisD Process ID:10788 1
172.20.10.4 2017-12-13 19:23:8 LuisD Process ID:10799 termianr
172.20.10.4 2017-12-13 19:23:11 LuisD Process ID:10802 termiar
172.20.10.4 2017-12-13 19:23:14 LuisD Process ID:10787 terminar
172.20.10.4 2017-12-13 19:23:18 LuisD Process ID:10845 configurar
172.20.10.4 2017-12-13 19:23:19 LuisD Process ID:10846 1
172.20.10.4 2017-12-13 19:23:56 LuisD Process ID:10845 terminar
172.20.10.4 2017-12-13 19:24:23 LuisD Process ID:10926 configurar
172.20.10.4 2017-12-13 19:24:24 LuisD Process ID:10928 1
172.20.10.4 2017-12-13 19:25:43 LuisD Process ID:10926 terminar
172.20.10.4 2017-12-13 19:25:47 LuisD Process ID:10989 configurar
172.20.10.4 2017-12-13 19:25:48 LuisD Process ID:10990 1
172.20.10.4 2017-12-13 19:26:43 LuisD Process ID:10989 terminar
172.20.10.4 2017-12-13 19:26:47 LuisD Process ID:11059 configurar
172.20.10.4 2017-12-13 19:26:48 LuisD Process ID:11061 1
172.20.10.4 2017-12-13 19:27:42 LuisD Process ID:11059 terminar
172.20.10.4 2017-12-13 19:27:47 LuisD Process ID:11124 configurar
172.20.10.4 2017-12-13 19:27:48 LuisD Process ID:11125 1
172.20.10.4 2017-12-13 19:30:32 LuisD Process ID:11124 terminar
172.20.10.4 2017-12-13 19:30:39 LuisD Process ID:11199 confgurar
172.20.10.4 2017-12-13 19:30:42 LuisD Process ID:11201 confgurar
172.20.10.4 2017-12-13 19:30:44 LuisD Process ID:11198 configurar
172.20.10.4 2017-12-13 19:31:35 LuisD Process ID:11317 configurar
172.20.10.4 2017-12-13 19:32:8 LuisD Process ID:11422 configurar
172.20.10.4 2017-12-13 19:32:25 LuisD Process ID:11487 terminar
172.20.10.4 2017-12-13 19:34:24 LuisD Process ID:11614 configurar
172.20.10.4 2017-12-13 19:34:56 LuisD Process ID:11614 terminar
172.20.10.4 2017-12-13 19:35:31 LuisD Process ID:11678 configurar
172.20.10.4 2017-12-13 19:35:32 LuisD Process ID:11681 1
172.20.10.4 2017-12-13 19:35:54 LuisD Process ID:11678 terminar
172.20.10.4 2017-12-13 19:36:10 LuisD Process ID:11778 configurar
172.20.10.4 2017-12-13 19:36:11 LuisD Process ID:11779 1
172.20.10.4 2017-12-13 19:37:49 LuisD Process ID:11778 terminar
172.20.10.4 2017-12-13 19:37:57 LuisD Process ID:11864 configurar
172.20.10.4 2017-12-13 19:37:58 LuisD Process ID:11865 1
172.20.10.4 2017-12-13 19:38:9 LuisD Process ID:11864 terminar
172.20.10.4 2017-12-13 19:38:29 LuisD Process ID:11936 configurar
172.20.10.4 2017-12-13 19:39:59 LuisD Process ID:11936 terminar
172.20.10.4 2017-12-13 19:40:6 LuisD Process ID:11998 configurar
172.20.10.4 2017-12-13 19:42:41 LuisD Process ID:12028 termianr
172.20.10.4 2017-12-13 19:42:43 LuisD Process ID:11998 terminar
172.20.10.4 2017-12-13 19:42:49 LuisD Process ID:12068 configurar
172.20.10.4 2017-12-13 19:48:3 LuisD Process ID:12398 configurar
172.20.10.4 2017-12-13 19:53:1 LuisD Process ID:12856 configurar
172.20.10.4 2017-12-13 19:53:9 LuisD Process ID:12856 configurar
172.20.10.4 2017-12-13 19:53:24 LuisD Process ID:12919 configurar
172.20.10.4 2017-12-13 19:53:39 LuisD Process ID:12919 terminar
172.24.79.62 2017-12-13 20:34:39 LuisD Process ID:2849 pwd
172.24.79.62 2017-12-13 20:34:41 LuisD Process ID:2850 ls
172.24.79.62 2017-12-13 20:34:45 LuisD Process ID:2851 tree
172.24.79.62 2017-12-13 20:34:48 LuisD Process ID:2853 date
172.24.79.62 2017-12-13 20:34:53 LuisD Process ID:2846 ayuda
172.24.79.62 2017-12-13 20:34:59 LuisD Process ID:2846 bitacora_comandos
172.24.79.62 2017-12-13 20:35:22 LuisD Process ID:2846 bitacora_error
172.24.79.62 2017-12-13 20:35:29 LuisD Process ID:2862 clear
172.24.79.62 2017-12-13 20:35:44 LuisD Process ID:2846 terminar
172.24.79.62 2017-12-13 21:28:28 LuisD Process ID:4143 clear
172.24.79.62 2017-12-13 21:28:36 LuisD Process ID:4140 configurar
172.24.79.62 2017-12-13 21:29:13 LuisD Process ID:4140 configurar
127.0.0.1 2017-12-14 16:35:8 LuisD Process ID:10561 configurar
172.24.79.62 2017-12-14 16:35:37 LuisD Process ID:10561 terminar
172.24.79.62 2017-12-14 16:35:50 LuisD Process ID:10768 configurar
172.24.79.62 2017-12-14 16:36:12 LuisD Process ID:10768 ayuda
172.24.79.62 2017-12-14 16:36:17 LuisD Process ID:10768 bitacora_error
172.24.79.62 2017-12-14 16:36:29 LuisD Process ID:10768 bitacora_comandos
172.24.79.62 2017-12-14 16:36:29 LuisD Process ID:10768 bitacora_comandos
 2017-12-14 16:36:48 LuisD Process ID:10768 terminar
127.0.0.1 2017-12-14 16:36:55 LuisD Process ID:10867 termianr
127.0.0.1 2017-12-14 16:36:55 LuisD Process ID:10867 termianr
 2017-12-14 16:36:56 LuisD Process ID:10771 terminar
127.0.0.1 2017-12-14 16:37:1 LuisD Process ID:10601 terminar
192.168.109.13 2018-4-3 15:4:17 emilio Process ID:3063 bitacora_error
192.168.109.13 2018-4-3 15:4:33 emilio Process ID:3067 exit
192.168.109.13 2018-4-3 15:5:17 emilio Process ID:3095 ayuda
192.168.109.13 2018-4-3 15:11:55 emilio Process ID:3274 gedit
192.168.109.13 2018-4-3 15:12:6 emilio Process ID:3288 gedit
192.168.109.13 2018-4-3 15:26:19 emilio Process ID:3268 terminar
192.168.109.13 2018-4-3 15:33:58 emilio Process ID:3095 terminar
192.168.0.2 2018-4-8 20:37:18 emilio Process ID:466 ayuda
192.168.0.2 2018-4-8 20:37:24 emilio Process ID:466 bitacora_comandos
192.168.0.2 2018-4-8 20:37:38 emilio Process ID:466 ayuda
192.168.0.2 2018-4-8 20:37:45 emilio Process ID:466 bitacora_error
192.168.0.2 2018-4-8 20:37:48 emilio Process ID:466 ayuda
